"nombre","slug","descripcion","metaTitle","metaDescription"
"Tren de Rodaje","tren-de-rodaje","Cadenas, rodillos, ruedas guía y sprockets del tren de rodaje para excavadoras y tractores. Piezas de desgaste con reposición y respaldo técnico.","Tren de Rodaje para Maquinaria Pesada | Partequipos","Tren de Rodaje: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Filtración","filtracion","Filtros de aire, aceite, combustible e hidráulicos para maquinaria pesada. Mantenimiento preventivo con productos de reposición.","Filtración para Maquinaria Pesada | Partequipos","Filtración: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Herramienta de Corte (GETS)","herramienta-de-corte-gets","Puntas, cuchillas, adaptadores y protectores (GETS) para cucharones y hojas. Componentes de desgaste de alta rotación.","Herramienta de Corte (GETS) para Maquinaria Pesada | Partequipos","Herramienta de Corte (GETS): repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Lubricantes","lubricantes","Aceites, grasas y lubricantes para motor, transmisión y sistema hidráulico de equipos pesados.","Lubricantes para Maquinaria Pesada | Partequipos","Lubricantes: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Misceláneos","miscelaneos","Repuestos y accesorios varios para maquinaria pesada que complementan el mantenimiento general del equipo.","Misceláneos para Maquinaria Pesada | Partequipos","Misceláneos: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Componentes Mayores","componentes-mayores","Conjuntos y subensambles de mayor envergadura para la reparación de equipos, con respaldo técnico.","Componentes Mayores para Maquinaria Pesada | Partequipos","Componentes Mayores: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Repuestos Motor Diesel","repuestos-motor-diesel","Piezas para motores diésel de maquinaria pesada: mantenimiento y reparación con componentes de reposición.","Repuestos Motor Diesel para Maquinaria Pesada | Partequipos","Repuestos Motor Diesel: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Transmisión","transmision","Repuestos para sistemas de transmisión y tren de potencia de equipos de construcción.","Transmisión para Maquinaria Pesada | Partequipos","Transmisión: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Componentes Hidráulicos","componentes-hidraulicos","Bombas, mangueras, sellos y componentes del sistema hidráulico para maquinaria pesada.","Componentes Hidráulicos para Maquinaria Pesada | Partequipos","Componentes Hidráulicos: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
"Llantas y Rines","llantas-y-rines","Llantas y rines para equipos de construcción, con opciones de reposición según la aplicación.","Llantas y Rines para Maquinaria Pesada | Partequipos","Llantas y Rines: repuestos y componentes para maquinaria pesada con respaldo técnico. Cotiza con Partequipos."
